id,register_number,install_location_name,install_address,install_address_detail,install_type_name,install_date,available_time,open_days,use_everyday,everyone_allow,rank,latitude,longitude,updated_at,note
314880,614880,大川町産業会館,川崎市川崎区大川町9-2,1階,公園・文教・娯楽施設 (図書館、テーマパーク、パチンコ店等),2018年06月01日,09:00 - 17:00 (24時間表記),月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日,False,認める,A,35.495535,139.7127781,2025年06月16日 17:51,
354325,654325,㈱ベイトランスポート,川崎市川崎区白石町7-2,事務所1階　書棚上のAEDボックス,会社・事業所,2021年03月24日,365日24時間使用可,月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日 - 土曜日 - 日曜日 - 祝日,True,認める,C,35.501067949956976,139.7115254402161,2021年03月27日 09:10,
362831,662831,佐川急便（株）　川崎南営業所,川崎市川崎区東扇島15,川崎南営業所,会社・事業所,2022年04月01日,08:00 - 19:00 (24時間表記),月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日 - 土曜日 - 日曜日 - 祝日,True,条件付で認める,A,35.50395024885558,139.76147890090945,2023年03月17日 10:31,
211838,511838,港湾振興会館（川崎マリエン),川崎市川崎区東扇島38-1,港湾振興会館交流棟1階,その他の不特定多数が利用する公的施設,2020年06月23日,365日24時間使用可,月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日 - 土曜日 - 日曜日 - 祝日,True,認める,C,35.496805801184465,139.76347242623888,2022年11月21日 15:17,
338249,638249,ロジスティクス・ネットワーク川崎ファズ物流センター,川崎市川崎区東扇島6-10,A棟1階,会社・事業所,2019年04月09日,08:30 - 17:00 (24時間表記),月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日 - 土曜日 - 日曜日 - 祝日,True,認める,D,35.493267755814394,139.75118458271027,2019年04月12日 13:43,
392985,692985,セブン‐イレブン　川崎渡田山王町店,川崎市川崎区渡田山王町2-7,その他,商業施設 (デパート、駅ビル、商店街、コンビニ等),2025年10月01日,365日24時間使用可,月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日 - 土曜日 - 日曜日 - 祝日,True,認める,A,35.5206032986,139.6944558377,2025年10月06日 10:35,AED使用時は、店舗従業員にお声がけください。 ※店舗従業員による操作方法の説明、現場への同行はできません。
50776,350776,京町小学校,川崎市川崎区京町1-1-4,1階正面玄関,学校・保育施設 (小中学校、高校、大学、各種学校等),2025年04月01日,08:30 - 17:00 (24時間表記),月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日,False,認める,A,35.51938835151554,139.6921064615708,2025年07月18日 09:52,
122043,422043,川崎中学校,川崎市川崎区下並木50,生徒昇降口,学校・保育施設 (小中学校、高校、大学、各種学校等),2020年04月01日,08:10 - 16:40 (24時間表記),月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日,False,認める,A,35.52254671216474,139.68923917997017,2025年12月22日 15:11,
350019,650019,株式会社コクサイテクノ,川崎市川崎区池田1-4-5,株式会社コクサイテクノ本社ビル2階,会社・事業所,2020年09月04日,08:30 - 17:45 (24時間表記),月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日,False,条件付で認める,C,35.521093422399645,139.690255522728,2020年09月04日 14:42,
393005,693005,セブン‐イレブン　川崎池田１丁目店,川崎市川崎区池田１-3-21,バックカウンター,商業施設 (デパート、駅ビル、商店街、コンビニ等),2025年10月01日,365日24時間使用可,月曜日 - 火曜日 - 水曜日 - 木曜日 - 金曜日 - 土曜日 - 日曜日 - 祝日,True,認める,A,35.5205723741,139.6901695421,2025年10月06日 10:39,AED使用時は、店舗従業員にお声がけください。 ※店舗従業員による操作方法の説明、現場への同行はできません。
