台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
1,川崎市役所本庁舎,25階展望ロビー,210-0004,川崎区宮本町1番地,365日24時間使用可,-,-,-,閉庁時は、守衛室にかけこみ等で連絡のこと,外部の使用も認める,35.53091408,139.7030842,,,
2,川崎市役所南庁舎,1階守衛室,210-0005,川崎区東田町5-4,365日24時間使用可,-,-,-,閉庁時は、守衛室にかけこみ等で連絡のこと,外部の使用も認める,35.52980978,139.7024033,,,
3,川崎市役所北庁舎,1階エントランス,210-0004,川崎区宮本町3-3,365日24時間使用可,-,-,-,閉庁時は、守衛室にかけこみ等で連絡のこと,外部の使用も認める,35.53193931,139.7035923,,,
4,川崎市役所本庁舎,1階守衛室横,210-0004,川崎区宮本町1番地,365日24時間使用可,-,-,-,閉庁時は、守衛室にかけこみ等で連絡のこと,外部の使用も認める,35.53091408,139.7030842,,,
5,川崎市役所本庁舎,15階EVホール,210-0004,川崎区宮本町1番地,365日24時間使用可,-,-,-,閉庁時は、守衛室にかけこみ等で連絡のこと,外部の使用も認める,35.53091408,139.7030842,,,
6,川崎市役所南庁舎,18階EVホール,210-0005,川崎区東田町5-4,365日24時間使用可,-,-,-,閉庁時は、守衛室にかけこみ等で連絡のこと,外部の使用も認める,35.52980978,139.7024033,,,
7,みぞのくち市税事務所,2階玄関風除室,213-0033,高津区下作延2-7-60,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.59939597,139.6065644,,,
8,しんゆり市税事務所,5階待合スペース,215-0004,麻生区万福寺1-2-2 新百合21ビル 5階,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.60318183,139.506207,,,
9,川崎市民プラザ,1階中央監視室,213-0014,高津区新作1-19-1,365日24時間使用可ではない,9時00分,21時30分,営業時間中,休館日は不定期,外部の使用も認める,35.58482442,139.6104129,,,
10,川崎市民プラザ,1階プール指導員室,213-0014,高津区新作1-19-1,365日24時間使用可ではない,9時00分,21時30分,営業時間中,休館日は不定期,外部の使用も認める,35.58482442,139.6104129,,,
