町丁コード,区,町丁名,年齢5歳階級,人口,総人口,高齢化率,後期高齢化率,緯度,経度
10001,川崎区,旭町１丁目,0〜4歳,35,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,5〜9歳,31,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,10〜14歳,20,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,15〜19歳,30,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,20〜24歳,79,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,25〜29歳,145,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,30〜34歳,182,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,35〜39歳,117,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,40〜44歳,106,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,45〜49歳,86,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,50〜54歳,81,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,55〜59歳,104,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,60〜64歳,74,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,65〜69歳,78,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,70〜74歳,75,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,75〜79歳,68,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,80〜84歳,44,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,85〜89歳,32,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,90〜94歳,14,1409,22.64,11.781,35.5353126,139.7099266
10001,川崎区,旭町１丁目,95歳以上,8,1409,22.64,11.781,35.5353126,139.7099266
10002,川崎区,旭町２丁目,0〜4歳,65,2075,26.072,14.651,35.5319252,139.7166435
10002,川崎区,旭町２丁目,5〜9歳,49,2075,26.072,14.651,35.5319252,139.7166435
10002,川崎区,旭町２丁目,10〜14歳,80,2075,26.072,14.651,35.5319252,139.7166435
10002,川崎区,旭町２丁目,15〜19歳,72,2075,26.072,14.651,35.5319252,139.7166435
10002,川崎区,旭町２丁目,20〜24歳,138,2075,26.072,14.651,35.5319252,139.7166435
10002,川崎区,旭町２丁目,25〜29歳,163,2075,26.072,14.651,35.5319252,139.7166435
