町丁コード,町名,総計,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳,１０１歳,１０２歳,１０３歳,１０４歳,１０５歳,１０６歳,１０７歳,１０８歳,１０９歳,１１０歳,１１１歳,１１２歳,１１３歳,１１４歳,１１５歳,１１６歳,１１７歳,１１８歳,１１９歳以上,０−４歳,５−９歳,１０−１４歳,１５−１９歳,２０−２４歳,２５−２９歳,３０−３４歳,３５−３９歳,４０−４４歳,４５−４９歳,５０−５４歳,５５−５９歳,６０−６４歳,６５−６９歳,７０−７４歳,７５−７９歳,８０−８４歳,８５−８９歳,９０−９４歳,９５−９９歳,１００−１０４歳,１０５−１０９歳,１１０−１１４歳,１１５歳以上,０−５歳,０−１４歳,１５−６４歳,６５歳以上,７５歳以上,０−５歳割合,０−１４歳割合,１５−６４歳割合,６５歳以上割合,７５歳以上割合,対前年同月人口増加率
10001,川崎区　旭町１丁目　　　　　　　　　　　　　　　,1409,9,6,9,7,4,6,5,7,2,11,2,2,6,6,4,5,2,5,9,9,11,19,15,12,22,24,21,36,38,26,43,35,34,31,39,29,26,19,18,25,18,26,28,17,17,19,18,19,19,11,9,25,15,13,19,22,21,23,20,18,15,12,13,16,18,18,10,21,11,18,14,22,13,14,12,15,13,18,13,9,7,9,10,9,9,4,4,13,4,7,2,1,3,5,3,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,31,20,30,79,145,182,117,106,86,81,104,74,78,75,68,44,32,14,6,2,0,0,0,41,86,1004,319,166,2.91,6.104,71.256,22.64,11.781,-1.675
10002,川崎区　旭町２丁目　　　　　　　　　　　　　　　,2075,13,10,17,13,12,8,5,13,11,12,16,18,19,15,12,11,17,13,19,12,16,24,26,32,40,34,45,33,26,25,32,27,38,24,19,33,34,15,29,21,18,28,32,28,24,28,20,20,29,27,23,30,39,35,38,31,37,30,33,30,24,23,20,24,24,26,25,23,25,25,23,17,23,28,22,21,30,33,20,11,21,14,18,16,16,19,12,15,9,6,6,3,9,2,3,3,4,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,49,80,72,138,163,140,132,130,124,165,161,115,124,113,115,85,61,23,18,2,0,0,0,73,194,1340,541,304,3.518,9.349,64.578,26.072,14.651,1.022
10003,川崎区　池田１丁目　　　　　　　　　　　　　　　,2206,11,9,5,3,5,8,8,11,8,7,7,8,7,9,9,9,6,8,7,8,12,5,23,39,59,77,73,92,75,80,69,60,48,37,48,34,28,44,30,30,44,28,33,25,26,35,23,23,19,18,31,41,34,47,34,23,32,32,38,22,28,20,24,19,15,13,19,20,12,22,28,15,13,19,24,20,13,18,11,16,15,11,10,12,3,13,4,9,8,3,6,5,6,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,40,38,138,397,262,166,156,118,187,147,106,86,99,78,51,37,21,4,0,0,0,0,41,115,1715,376,191,1.859,5.213,77.743,17.044,8.658,-0.181
10004,川崎区　池田２丁目　　　　　　　　　　　　　　　,1181,4,0,2,4,2,6,5,5,8,1,8,11,13,12,13,7,5,7,5,4,9,13,11,14,15,20,27,24,30,22,12,19,20,17,24,18,15,17,20,11,18,25,20,11,15,18,13,21,15,16,25,22,17,25,19,22,17,16,17,19,19,21,11,6,15,8,17,15,10,12,6,8,12,13,14,18,15,10,9,8,7,13,12,8,7,4,3,7,7,1,3,2,0,1,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,57,28,62,123,92,81,89,83,108,91,72,62,53,60,47,22,8,5,1,0,0,0,18,94,829,258,143,1.524,7.959,70.195,21.846,12.108,0.085
10005,川崎区　砂子１丁目　　　　　　　　　　　　　　　,593,4,4,0,4,2,3,5,1,1,2,2,0,1,0,1,3,2,0,2,2,1,6,8,7,11,12,13,19,16,18,15,16,9,13,12,18,6,11,12,14,9,10,14,15,13,10,8,14,8,14,9,19,6,8,9,8,8,6,14,6,5,4,6,8,4,10,4,3,3,4,7,3,2,3,4,4,2,5,4,3,4,2,1,2,0,1,0,2,1,3,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,4,9,33,78,65,61,61,54,51,42,27,24,19,18,9,7,3,1,1,0,0,0,17,30,481,82,39,2.867,5.059,81.113,13.828,6.577,0
10006,川崎区　砂子２丁目　　　　　　　　　　　　　　　,1107,7,8,3,7,7,5,7,8,3,8,12,5,9,3,9,4,3,6,4,8,4,6,5,12,19,12,27,24,29,24,25,23,22,28,12,20,18,28,19,19,20,23,17,20,18,29,28,23,19,27,25,16,22,21,14,19,14,16,18,12,22,12,12,14,10,9,6,8,7,3,4,8,2,3,6,11,15,11,6,6,2,1,2,2,2,6,0,4,2,1,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,38,25,46,116,110,104,98,126,98,79,70,33,23,49,9,13,6,1,0,0,0,0,37,101,872,134,78,3.342,9.124,78.771,12.105,7.046,-0.36
10007,川崎区　駅前本町　　　　　　　　　　　　　　　　,461,8,4,1,0,2,0,1,3,1,4,0,0,1,0,0,1,1,2,7,5,0,6,2,9,20,13,11,11,11,7,5,9,12,8,7,7,10,4,10,8,6,7,3,5,5,4,5,7,7,5,7,11,8,10,7,11,11,12,8,9,5,6,9,6,7,5,1,3,3,2,5,1,2,1,4,3,6,5,3,1,1,1,2,1,5,3,1,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,1,16,37,53,41,39,26,28,43,51,33,14,13,18,10,10,4,0,0,0,0,0,15,25,367,69,42,3.254,5.423,79.61,14.967,9.111,-4.357
10008,川崎区　榎町　　　　　　　　　　　　　　　　　　,1883,11,6,8,13,6,7,8,16,12,17,15,10,23,18,17,17,19,7,16,27,18,20,29,34,40,35,34,43,47,55,33,44,37,35,25,28,32,30,28,23,31,32,31,46,23,34,33,38,48,41,43,35,37,39,43,25,23,21,19,18,12,16,14,20,11,12,12,11,16,10,9,7,13,14,10,10,9,5,10,8,7,5,6,1,6,2,2,2,6,1,2,0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,60,83,86,141,214,174,141,163,194,197,106,73,61,53,42,25,13,10,3,0,0,0,0,51,187,1489,207,93,2.708,9.931,79.076,10.993,4.939,1.346
10009,川崎区　大島１丁目　　　　　　　　　　　　　　　,2661,14,16,10,11,18,25,18,25,25,26,19,17,16,17,20,17,18,27,22,19,16,27,28,28,31,35,49,33,41,37,32,39,31,40,18,39,44,39,29,35,34,47,34,35,26,25,32,51,33,42,39,51,59,47,53,30,36,38,35,29,36,39,26,34,29,34,15,29,19,35,21,22,25,46,25,48,36,38,33,13,18,21,28,21,22,17,12,13,16,17,4,11,6,6,5,2,4,1,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,119,89,103,130,195,160,186,176,183,249,168,164,132,139,168,110,75,32,9,4,1,0,0,94,277,1714,670,399,3.533,10.41,64.412,25.179,14.994,0.377
10010,川崎区　大島２丁目　　　　　　　　　　　　　　　,1308,7,7,1,10,5,9,4,4,4,6,12,4,14,11,7,8,12,5,10,8,14,10,16,19,17,18,11,17,23,25,15,18,19,19,13,17,22,20,18,18,17,15,14,13,16,22,19,13,10,20,21,12,25,21,15,19,27,18,20,21,26,16,15,17,15,22,15,17,19,11,12,17,19,18,20,24,12,17,11,10,18,10,18,8,9,8,4,10,5,8,7,5,3,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,48,43,76,94,84,95,75,84,94,105,89,84,86,74,63,35,19,1,2,0,0,0,39,105,839,364,194,2.982,8.028,64.144,27.829,14.832,0.77
