区,町丁名,総人口,高齢者人口,後期高齢者人口,高齢化率,最寄りAED距離_km,設置優先度,緯度,経度
多摩区,堰１丁目,3587,849,503,23.669,0.5349429551529182,89.54269712224495,35.6160136,139.5942887
麻生区,東百合丘１丁目,2531,672,434,26.551,0.5073278055071643,72.42651220478207,35.6021346,139.5280155
川崎区,田島町,2056,600,361,29.183,1.1896725703490192,68.42352741991856,35.5318437,139.7687813
宮前区,鷺沼４丁目,4094,590,289,14.411,0.5176475022818705,66.55798426610482,35.582943,139.567685
川崎区,港町,4768,464,204,9.732,0.6453897100068444,59.45294658586395,35.5732659,139.4840407
多摩区,宿河原７丁目,2248,515,297,22.909,0.5636234272756764,56.14472259318789,35.6167666,139.5884924
麻生区,片平４丁目,2747,502,246,18.274,0.5381170500876871,54.36921032277942,35.5931685,139.4892068
多摩区,西生田５丁目,1835,459,308,25.014,0.5796315507572078,52.56456461583424,35.607389,139.5257047
川崎区,境町,1948,390,221,20.021,0.6453897100068444,45.15154937392291,35.5732659,139.4840407
麻生区,白鳥４丁目,2450,402,191,16.408,0.5302936927727102,45.06590106353994,35.6059663,139.4869731
宮前区,有馬９丁目,1908,341,153,17.872,0.5214954095017239,37.57808466199488,35.572188,139.570378
多摩区,菅野戸呂,1834,300,180,16.358,0.5477741673220247,37.167226291019645,35.6396579,139.5314929
麻生区,細山４丁目,1444,303,152,20.983,0.5206668983388482,33.77482801683334,35.619306,139.5136999
川崎区,江川２丁目,1586,208,107,13.115,1.1896725703490192,32.834158734048785,35.5318437,139.7687813
多摩区,菅仙谷１丁目,1155,279,164,24.156,0.5069470003794208,32.03221841867695,35.629489,139.522437
麻生区,岡上５丁目,1106,253,144,22.875,0.6982452712413704,31.016858944886113,35.5777847,139.4754331
麻生区,岡上６丁目,647,219,133,33.849,1.0402719065585793,29.70853964132114,35.5730507,139.4741376
麻生区,栗木１丁目,1085,236,122,21.751,0.5865198882378347,27.876575008458442,35.6055651,139.4735948
川崎区,東田町,1569,204,96,13.002,0.6453897100068444,27.343265000197512,35.5732659,139.4840407
川崎区,殿町３丁目,1006,147,78,14.612,1.1896725703490192,25.79768118587076,35.5318437,139.7687813
麻生区,細山８丁目,1079,214,110,19.833,0.5318084238018294,25.639301168841616,35.6202051,139.510687
麻生区,細山７丁目,754,143,71,18.966,0.8359154783953541,21.161115316264077,35.6231931,139.5140709
川崎区,田町３丁目,363,57,17,15.702,1.1896725703490192,15.222079875196611,35.5318437,139.7687813
麻生区,細山６丁目,552,83,33,15.036,0.6232388673738678,13.432852869230839,35.6225587,139.5168292
川崎区,扇町,42,30,18,71.429,1.023716990614578,11.268192176001897,35.5009918,139.7228338
麻生区,栗木,151,47,33,31.126,0.6451062562765656,10.23850296131052,35.602112,139.475626
麻生区,栗木３丁目,434,28,18,6.452,0.6938329342126447,10.04536108060817,35.6047304,139.4707805
川崎区,小島町,2,0,0,0.0,1.1896725703490192,10.008389261744966,35.5318437,139.7687813
川崎区,浮島町,1,0,0,0.0,1.1896725703490192,10.004194630872483,35.5318437,139.7687813
麻生区,細山,65,14,4,21.538,0.6136752653439721,6.329173453111457,35.6221357,139.5062935
麻生区,下麻生,1,1,1,100.0,0.6502333563873465,5.576600760855403,35.572171,139.51203
川崎区,東扇島,6,1,0,16.667,0.5031077341511556,4.30124172494833,35.49719,139.753955
