町丁コード,区,町丁名,緯度,経度,総人口,高齢化率,後期高齢化率,高齢者人口,最寄りAED距離_km,最寄りAED名,500m以内AED数,1km以内AED数,高齢化率_norm,距離_norm,人口_norm,リスクスコア
10001,川崎区,旭町１丁目,35.5353126,139.7099266,1409,22.64,11.781,319,0.24787761723450522,セブン‐イレブン　川崎本町２丁目店,1,43,22.64,20.805680980839362,5.358909948999011,16.72194537703545
10002,川崎区,旭町２丁目,35.5319252,139.7166435,2075,26.072,14.651,541,0.16394284637012366,旭町小学校,7,37,26.072,13.74771470203117,7.893735251579509,15.68880645628632
10003,川崎区,池田１丁目,35.521531,139.6918002,2206,17.044,8.658,376,0.14802112930650435,株式会社コクサイテクノ,14,26,17.044,12.408878115256886,8.392327015300296,12.594449350692845
10004,川崎区,池田２丁目,35.5207255,139.6929173,1181,21.846,12.108,258,0.13990252541838358,セブン‐イレブン　川崎渡田山王町店,11,28,21.846,11.726195218964218,4.491131917484966,12.591617662831178
10005,川崎区,砂子１丁目,35.5319901,139.701502,593,13.828,6.577,82,0.016495646478265867,金井歯科医院,32,71,13.828,1.3490704450174937,2.2531780467382205,5.363981592028463
10006,川崎区,砂子２丁目,35.5293091,139.700418,1107,12.105,7.046,134,0.07462037440283788,セブン‐イレブン　川崎仲見世通り店,33,76,12.105,6.236703608624783,4.209484661642689,7.389026841942719
10007,川崎区,駅前本町,35.5325821,139.6998962,461,14.967,9.111,69,0.1053305694791203,川崎市立看護大学大学院,30,71,14.967,8.819084176676146,1.7507802390195633,8.542967742376328
10008,川崎区,榎町,35.5307057,139.706561,1883,10.993,4.939,207,0.09857259854497218,川崎中央郵便局,36,65,10.993,8.250815144960422,7.1629748039887335,8.74711849918079
10009,川崎区,大島１丁目,35.5241828,139.7119195,2661,25.179,14.994,670,0.2195529710697221,大島老人いこいの家,16,63,25.178999999999995,18.423898134094873,10.124077034330517,17.960482363937103
10010,川崎区,大島２丁目,35.5214314,139.7147626,1308,27.829,14.832,364,0.13003338883492024,セブン‐イレブン　川崎追分店,7,52,27.828999999999997,10.896312293333981,4.974499505214281,14.199574768897875
10011,川崎区,大島３丁目,35.5206439,139.7182693,2720,27.757,15.662,755,0.09066938950025802,まつみ食品ビル,13,44,27.757000000000005,7.586244522350485,10.348633630204764,14.466187898001625
10012,川崎区,大島４丁目,35.5242993,139.7148483,2244,22.727,13.77,510,0.046976894941711235,向小学校,13,53,22.727,3.9121991886293515,8.536956687219305,10.944066681617533
10013,川崎区,大島５丁目,35.5238572,139.717631,2645,27.486,16.673,727,0.1894268725897443,東大島小学校,12,44,27.486,15.890633493064335,10.063180330364618,17.62100749633512
10014,川崎区,大島上町,35.5207436,139.7102434,2629,21.871,11.868,575,0.21963406628105053,田島小学校,5,52,21.871,18.43071732548641,10.002283626398722,16.93427201811418
10015,川崎区,小川町,35.5273825,139.6975806,2510,9.522,4.582,239,0.13752101893642657,川崎駅東口周辺自転車等駐車場第11施設,22,77,9.522,11.525937420327056,9.549364390652356,10.33178428532653
10016,川崎区,小田１丁目,35.515828,139.69908,2496,27.724,16.747,692,0.11973752539048187,宗教法人圓能院,7,31,27.724,10.030546458106127,9.496079774682196,15.17824251564711
10017,川崎区,貝塚１丁目,35.5251579,139.7021859,2281,17.58,10.96,401,0.2358611726203423,セブン‐イレブン　川崎元木１丁目店,10,79,17.58,19.795233701308888,8.677780315140444,15.795427575065688
10018,川崎区,貝塚２丁目,35.5242277,139.7042196,1910,19.319,10.0,369,0.134171055221513,セブン‐イレブン　川崎貝塚２丁目店,9,72,19.319,11.244243306057133,7.2657379919311875,12.473118720002208
10019,川崎区,京町１丁目,35.5178189,139.6938646,3070,20.456,11.792,628,0.022673731967793827,セブン‐イレブン　川崎京町１丁目店,6,31,20.456,1.8685776600087314,11.680749029458779,10.388455772841127
