順位,区,町丁名,高齢化率,最寄り既存AED,1km以内セブン数,推奨施設タイプ,Google_Maps_検索
1,多摩区,堰１丁目,23.7%,セブン‐イレブン　川崎堰店 (535m),3,コンビニ/公民館,"https://www.google.com/maps/search/コンビニ+多摩区堰１丁目/@35.6160136,139.5942887,16z"
2,宮前区,鷺沼４丁目,14.4%,水運用センター (518m),3,コンビニ/公民館,"https://www.google.com/maps/search/コンビニ+宮前区鷺沼４丁目/@35.582943,139.567685,16z"
3,麻生区,東百合丘１丁目,26.6%,長沢小学校 (507m),1,コンビニ/薬局,"https://www.google.com/maps/search/コンビニ+麻生区東百合丘１丁目/@35.6021346,139.5280155,16z"
4,川崎区,港町,9.7%,岡上小学校 (645m),0,コンビニ/公民館,"https://www.google.com/maps/search/コンビニ+川崎区港町/@35.5732659,139.4840407,16z"
5,川崎区,田島町,29.2%,三菱ケミカル物流株式会社川崎油槽所 (1190m),0,コンビニ/薬局,"https://www.google.com/maps/search/コンビニ+川崎区田島町/@35.5318437,139.7687813,16z"
6,麻生区,片平４丁目,18.3%,片平小学校 (538m),2,コンビニ/公民館,"https://www.google.com/maps/search/コンビニ+麻生区片平４丁目/@35.5931685,139.4892068,16z"
7,多摩区,宿河原７丁目,22.9%,緑化センター (564m),3,コンビニ/公民館,"https://www.google.com/maps/search/コンビニ+多摩区宿河原７丁目/@35.6167666,139.5884924,16z"
8,麻生区,白鳥４丁目,16.4%,白鳥中学校 (530m),2,コンビニ/公民館,"https://www.google.com/maps/search/コンビニ+麻生区白鳥４丁目/@35.6059663,139.4869731,16z"
9,多摩区,西生田５丁目,25.0%,生田保育園 (580m),2,コンビニ/薬局,"https://www.google.com/maps/search/コンビニ+多摩区西生田５丁目/@35.607389,139.5257047,16z"
10,川崎区,境町,20.0%,岡上小学校 (645m),0,コンビニ/公民館,"https://www.google.com/maps/search/コンビニ+川崎区境町/@35.5732659,139.4840407,16z"
