町丁コード,区,町丁名,緯度,経度,総人口,人口,リスク加重人口,高齢者人口,高齢者リスク加重人口,リスク加重高齢化率,最寄りAED距離_km,500m以内AED数,リスク加重人口_norm,距離_norm,リスク加重スコア
10001,川崎区,旭町１丁目,35.5353126,139.7099266,1409,1409,4325.683,319,3065.13,70.85886783659366,0.24787761723450522,1,7.287010682688125,20.835784854801208,12.706520351533356
10002,川崎区,旭町２丁目,35.5319252,139.7166435,2075,2075,7254.082,541,5356.468,73.8407423571997,0.16394284637012366,7,12.220168012102512,13.780501497317625,12.844301406188556
10003,川崎区,池田１丁目,35.521531,139.6918002,2206,2206,5604.964,376,3598.024,64.19352559623933,0.14802112930650435,14,9.442077134196463,12.442173838056867,10.642115815740624
10004,川崎区,池田２丁目,35.5207255,139.6929173,1181,1181,3670.084,258,2487.122,67.76744074522544,0.13990252541838358,11,6.182593896585293,11.759750447750493,8.413456517051372
10005,川崎区,砂子１丁目,35.5319901,139.701502,593,593,1353.261,82,757.562,55.98047974485336,0.016495646478265867,32,2.2796925626462254,1.3865702958442145,1.922443655925421
10006,川崎区,砂子２丁目,35.5293091,139.700418,1107,1107,2474.847,134,1267.341,51.208862608476394,0.07462037440283788,33,4.1691072894196495,6.272345539659387,5.010402589515545
10007,川崎区,駅前本町,35.5325821,139.6998962,461,461,1218.064,69,690.89,56.720336534040904,0.1053305694791203,30,2.051940787200039,8.853744475945934,4.772662262698398
10008,川崎区,榎町,35.5307057,139.706561,1883,1883,3680.137,207,1883.575,51.18219783665663,0.09857259854497218,36,6.199529099278848,8.28569145845344,7.033994042948685
10009,川崎区,大島１丁目,35.5241828,139.7119195,2661,2661,9187.67,670,6682.688,72.73539428386087,0.2195529710697221,16,15.47747475693739,18.454907387274712,16.66844780907232
10010,川崎区,大島２丁目,35.5214314,139.7147626,1308,1308,4772.451,364,3515.351,73.65923715088955,0.13003338883492024,7,8.039632451015393,10.930182982765738,9.195852663715531
10011,川崎区,大島３丁目,35.5206439,139.7182693,2720,2720,9866.5,755,7468.7,75.69756245882532,0.09066938950025802,13,16.621026298215188,7.621373456871243,13.02116516167761
10012,川崎区,大島４丁目,35.5242993,139.7148483,2244,2244,7301.563999999999,510,5124.013,70.17692373853053,0.046976894941711235,13,12.300155806223207,3.9487247258234617,8.959583374063309
10013,川崎区,大島５丁目,35.5238572,139.717631,2645,2645,9682.454,727,7307.128,75.46772749966073,0.1894268725897443,12,16.310983891477104,15.92260570773447,16.15563261798005
10014,川崎区,大島上町,35.5207436,139.7102434,2629,2629,8050.214,575,5572.478999999999,69.22150144083126,0.21963406628105053,5,13.561325556201298,18.461723986509632,15.521484928324632
10015,川崎区,小川町,35.5273825,139.6975806,2510,2510,4628.045,239,2256.912,48.765990823339,0.13752101893642657,22,7.796367268466358,11.559568772446477,9.301647870058407
10016,川崎区,小田１丁目,35.515828,139.69908,2496,2496,9148.236,692,7034.691,76.89669352648968,0.11973752539048187,7,15.411044558686356,10.064746248234838,13.27252523450575
10017,川崎区,貝塚１丁目,35.5251579,139.7021859,2281,2281,6146.599,401,4090.677,66.55187689972942,0.2358611726203423,10,10.35451108534771,19.8257216732455,14.142995320506826
10018,川崎区,貝塚２丁目,35.5242277,139.7042196,1910,1910,5296.049,369,3549.136,67.0147878163514,0.134171055221513,9,8.921681417487077,11.277981737626403,9.864201545542809
