町丁コード,区,町丁名,経度,緯度,総人口,リスク加重人口,最寄りAED距離_km,500m以内AED数
14131001001,川崎区,中瀬一丁目,139.72839,35.541375,0,0.0,0.5793295214010388,0
14131001002,川崎区,中瀬二丁目,139.727781,35.537671,1951,13751.720000000001,0.1697273632541562,2
14131001003,川崎区,中瀬三丁目,139.732389,35.538605,5933,31029.23,0.3459637607122523,3
14131002001,川崎区,大師駅前一丁目,139.726888,35.534737,2039,13386.8,0.15450446760039857,5
14131002002,川崎区,大師駅前二丁目,139.723248,35.534103,3515,16678.76,0.09007254533671813,4
14131003001,川崎区,川中島一丁目,139.726841,35.532268,2147,14476.98,0.15672176698433085,5
14131003002,川崎区,川中島二丁目,139.727472,35.530287,956,6726.3,0.16156376780219217,4
14131004000,川崎区,伊勢町,139.721602,35.531991,2576,15820.19,0.2534920537719927,7
14131005001,川崎区,藤崎一丁目,139.720948,35.529388,2454,15587.52,0.053478078010119764,8
14131005002,川崎区,藤崎二丁目,139.72068,35.52672,1721,11961.25,0.11122472148525496,10
14131005003,川崎区,藤崎三丁目,139.724088,35.527824,2023,13825.06,0.22081039529373694,7
14131005004,川崎区,藤崎四丁目,139.722141,35.524411,3341,23803.33,0.08319586413601614,11
14131006001,川崎区,観音一丁目,139.726357,35.527475,2570,16095.470000000001,0.23670543173320321,7
14131006002,川崎区,観音二丁目,139.729473,35.52751,3293,18313.78,0.19071763265350505,6
14131007001,川崎区,池上新町一丁目,139.728017,35.523199,928,6441.2300000000005,0.08654888601411863,7
14131007002,川崎区,池上新町二丁目,139.73028,35.52445,2957,19749.85,0.1808218319068488,8
14131007003,川崎区,池上新町三丁目,139.733766,35.521816,78,1083.95,0.20995128041304875,6
14131008000,川崎区,四谷上町,139.734512,35.527536,4763,31483.83,0.19765032247353867,7
14131009000,川崎区,四谷下町,139.738079,35.525468,1483,9142.07,0.150670549925487,4
14131010000,川崎区,大師公園,139.731402,35.531814,0,0.0,0.11552531213050934,10
14131011000,川崎区,台町,139.732887,35.530165,2048,11851.03,0.12986041690281575,10
14131012001,川崎区,昭和一丁目,139.737099,35.533116,919,6732.16,0.13270545543439016,12
14131012002,川崎区,昭和二丁目,139.737592,35.530968,2327,15018.710000000001,0.1957530292064534,12
14131013000,川崎区,出来野,139.739885,35.533681,1391,8767.75,0.0935906050740537,7
14131014000,川崎区,大師本町,139.730166,35.535748,1401,9532.64,0.2955410612823686,6
14131015000,川崎区,大師町,139.730628,35.53386,737,5404.24,0.2734547394612445,7
14131016001,川崎区,東門前一丁目,139.733307,35.535562,1003,6421.76,0.20665187966307938,8
14131016002,川崎区,東門前二丁目,139.734664,35.533411,408,2951.59,0.07701587936933016,12
14131016003,川崎区,東門前三丁目,139.736458,35.535558,2401,12124.92,0.12603678928096274,12
14131017001,川崎区,大師河原一丁目,139.738454,35.54065,1153,6917.6,0.15691651194192496,2
14131017002,川崎区,大師河原二丁目,139.739911,35.536032,2649,12364.44,0.024252442661908145,8
14131018001,川崎区,殿町一丁目,139.743459,35.540802,2042,12205.1,0.3165790394084517,4
