町丁コード,区,町丁名,経度,緯度,総人口_累計,リスク加重人口_累計,最寄りAED距離_km,500m以内AED数
14131001001,川崎区,中瀬一丁目,139.72839,35.541375,0,0.0,0.5793295214010388,0
14131001002,川崎区,中瀬二丁目,139.727781,35.537671,19030,135466.96,0.1697273632541562,2
14131001003,川崎区,中瀬三丁目,139.732389,35.538605,55554,300501.2,0.3459637607122523,3
14131002001,川崎区,大師駅前一丁目,139.726888,35.534737,20000,133875.38,0.15450446760039857,5
14131002002,川崎区,大師駅前二丁目,139.723248,35.534103,32851,175177.65,0.09007254533671813,4
14131003001,川崎区,川中島一丁目,139.726841,35.532268,21026,144382.35,0.15672176698433085,5
14131003002,川崎区,川中島二丁目,139.727472,35.530287,9283,64883.270000000004,0.16156376780219217,4
14131004000,川崎区,伊勢町,139.721602,35.531991,24872,158357.6,0.2534920537719927,7
14131005001,川崎区,藤崎一丁目,139.720948,35.529388,24160,163059.72,0.053478078010119764,8
14131005002,川崎区,藤崎二丁目,139.72068,35.52672,16606,113541.19,0.11122472148525496,10
14131005003,川崎区,藤崎三丁目,139.724088,35.527824,19858,137962.71,0.22081039529373694,7
14131005004,川崎区,藤崎四丁目,139.722141,35.524411,32428,225413.29,0.08319586413601614,11
14131006001,川崎区,観音一丁目,139.726357,35.527475,25049,160461.68,0.23670543173320321,7
14131006002,川崎区,観音二丁目,139.729473,35.52751,31461,185053.5,0.19071763265350505,6
14131007001,川崎区,池上新町一丁目,139.728017,35.523199,9038,63283.93,0.08654888601411863,7
14131007002,川崎区,池上新町二丁目,139.73028,35.52445,28534,191004.68,0.1808218319068488,8
14131007003,川崎区,池上新町三丁目,139.733766,35.521816,728,8667.52,0.20995128041304875,6
14131008000,川崎区,四谷上町,139.734512,35.527536,46059,304920.3,0.19765032247353867,7
14131009000,川崎区,四谷下町,139.738079,35.525468,14240,88575.87,0.150670549925487,4
14131010000,川崎区,大師公園,139.731402,35.531814,0,0.0,0.11552531213050934,10
14131011000,川崎区,台町,139.732887,35.530165,19850,119926.06,0.12986041690281575,10
14131012001,川崎区,昭和一丁目,139.737099,35.533116,8892,65145.950000000004,0.13270545543439016,12
14131012002,川崎区,昭和二丁目,139.737592,35.530968,22623,151060.78,0.1957530292064534,12
14131013000,川崎区,出来野,139.739885,35.533681,13328,88018.18000000001,0.0935906050740537,7
14131014000,川崎区,大師本町,139.730166,35.535748,13423,90941.51,0.2955410612823686,6
14131015000,川崎区,大師町,139.730628,35.53386,7217,53154.81,0.2734547394612445,7
14131016001,川崎区,東門前一丁目,139.733307,35.535562,9595,60912.75,0.20665187966307938,8
14131016002,川崎区,東門前二丁目,139.734664,35.533411,4034,29776.87,0.07701587936933016,12
14131016003,川崎区,東門前三丁目,139.736458,35.535558,22980,125546.19,0.12603678928096274,12
14131017001,川崎区,大師河原一丁目,139.738454,35.54065,10624,63325.270000000004,0.15691651194192496,2
14131017002,川崎区,大師河原二丁目,139.739911,35.536032,24547,123855.57,0.024252442661908145,8
14131018001,川崎区,殿町一丁目,139.743459,35.540802,19745,120150.35,0.3165790394084517,4
14131018002,川崎区,殿町二丁目,139.747401,35.541009,11613,73507.6,0.2903864993630243,5
14131018003,川崎区,殿町三丁目,139.757853,35.540165,9256,51580.99,0.5585054539651753,0
14131019000,川崎区,小島町,139.756791,35.534437,123,538.78,0.6072352851501341,0
14131020001,川崎区,江川一丁目,139.743974,35.536602,5431,36071.28,0.11017340632248139,7
14131020002,川崎区,江川二丁目,139.74749,35.536267,15458,82521.6,0.24535658901273116,8
14131021001,川崎区,田町一丁目,139.742182,35.535289,3281,22574.68,0.20967873229855433,8
14131021002,川崎区,田町二丁目,139.745307,35.534536,21205,144155.8,0.1560233488028113,8
14131021003,川崎区,田町三丁目,139.749543,35.534778,2894,19031.56,0.09334715316529633,6
14131022001,川崎区,日ノ出一丁目,139.741918,35.531913,8953,61055.81,0.17571060618672077,7
14131022002,川崎区,日ノ出二丁目,139.74415,35.531786,9354,59921.33,0.14743187791442608,5
14131023001,川崎区,塩浜一丁目,139.740963,35.528522,12005,74827.72,0.21334648785923477,4
14131023002,川崎区,塩浜二丁目,139.738406,35.52318,5985,39424.340000000004,0.04152588992057083,6
14131023003,川崎区,塩浜三丁目,139.741117,35.521646,3664,27400.59,0.2019519717713815,6
14131023004,川崎区,塩浜四丁目,139.746477,35.529171,648,3677.95,0.2837109281007079,4
14131024001,川崎区,夜光一丁目,139.751951,35.528102,406,5872.71,0.364691421491217,2
14131024002,川崎区,夜光二丁目,139.747666,35.522538,0,0.0,0.3663208232619652,4
14131024003,川崎区,夜光三丁目,139.74114,35.51764,0,0.0,0.1866778662854942,3
14131025000,川崎区,浮島町,139.777377,35.52168,4,13.489999999999998,0.9084866727561194,0
14131026000,川崎区,千鳥町,139.75682,35.516789,93,287.03999999999996,0.23776827793573316,2
14131027000,川崎区,水江町,139.740029,35.508848,0,0.0,0.4958420862669315,1
14131028000,川崎区,東扇島,139.756993,35.497113,33,314.13,0.5978587674159952,0
14131051001,川崎区,桜本一丁目,139.722867,35.519253,25533,159751.27,0.03516786084403088,7
14131051002,川崎区,桜本二丁目,139.725539,35.521702,31346,214782.59,0.21481316494121844,8
14131052001,川崎区,浜町一丁目,139.717549,35.516755,17256,117048.66,0.017683934643484635,8
14131052002,川崎区,浜町二丁目,139.717802,35.513978,22110,139638.15,0.04677926077290555,9
14131052003,川崎区,浜町三丁目,139.719757,35.517457,12952,85391.53,0.10918968481184374,11
14131052004,川崎区,浜町四丁目,139.721964,35.516017,8890,55080.56,0.19682817585149368,8
14131053000,川崎区,追分町,139.714665,35.519319,21905,152073.82,0.17404082699010667,9
14131054001,川崎区,鋼管通一丁目,139.712786,35.517836,18080,121903.15000000001,0.07555054124155239,14
14131054002,川崎区,鋼管通二丁目,139.715309,35.516347,12038,82597.38,0.21320510391807834,14
14131054003,川崎区,鋼管通三丁目,139.713706,35.514017,10814,74132.07,0.10866706349659917,15
14131054004,川崎区,鋼管通四丁目,139.712371,35.511721,8720,54026.16,0.04232292580562625,14
14131054005,川崎区,鋼管通五丁目,139.714125,35.510741,206,2889.15,0.1957728374403412,7
14131055000,川崎区,田島町,139.710342,35.516538,18080,122109.43000000001,0.0647414951399521,13
14131056001,川崎区,小田栄一丁目,139.70445,35.516094,13361,93496.48,0.12849453024804935,13
14131056002,川崎区,小田栄二丁目,139.708781,35.513671,59151,285309.56,0.12010262808007609,15
14131057001,川崎区,小田一丁目,139.698993,35.515907,20533,138585.87,0.13153002014179063,7
14131057002,川崎区,小田二丁目,139.699537,35.513514,23364,160856.62,0.12206434455392626,9
