緯度,経度,区,町丁名,新規カバー人口
35.564183,139.622941,高津区,久末,7204
35.563732,139.622388,高津区,久末,7153
35.563732,139.622941,高津区,久末,7153
35.564183,139.623495,高津区,久末,7103
35.563282,139.622388,高津区,久末,7053
35.563732,139.623495,高津区,久末,7002
35.563282,139.622941,高津区,久末,6952
35.564183,139.622388,高津区,久末,6948
35.563732,139.621834,高津区,久末,6898
35.564183,139.624049,高津区,久末,6825
35.563282,139.623495,高津区,久末,6801
35.563282,139.621834,高津区,久末,6798
35.563732,139.624049,高津区,久末,6751
35.564183,139.621834,高津区,久末,6693
35.563282,139.624049,高津区,久末,6600
35.562831,139.622941,高津区,久末,6573
35.564633,139.622941,高津区,久末,6566
35.564633,139.623495,高津区,久末,6516
35.562831,139.623495,高津区,久末,6473
35.564633,139.622388,高津区,久末,6438
35.562831,139.622388,高津区,久末,6419
35.562831,139.624049,高津区,久末,6194
35.564633,139.624049,高津区,久末,6110
35.562831,139.621834,高津区,久末,6086
35.563732,139.624603,高津区,久末,6067
35.564348,139.62145,高津区,久末,6056
35.564799,139.622004,高津区,久末,6056
35.563282,139.624603,高津区,久末,5916
35.562381,139.622941,高津区,久末,5785
35.563282,139.62128,高津区,久末,5777
35.565084,139.622941,高津区,久末,5751
35.562381,139.622388,高津区,久末,5707
35.562381,139.623495,高津区,久末,5684
35.565084,139.622388,高津区,久末,5623
35.565084,139.623495,高津区,久末,5623
35.564799,139.62145,高津区,久末,5546
35.562381,139.624049,高津区,久末,5533
35.563898,139.620897,高津区,久末,5495
35.562831,139.624603,高津区,久末,5483
35.564633,139.624603,高津区,久末,5425
35.563447,139.620897,高津区,久末,5395
35.562381,139.621834,高津区,久末,5375
35.564348,139.620897,高津区,久末,5291
35.562831,139.62128,高津区,久末,5244
35.565084,139.624049,高津区,久末,5167
35.565249,139.622004,高津区,久末,5113
35.561931,139.622941,高津区,久末,4869
35.565534,139.622941,高津区,久末,4858
35.562381,139.624603,高津区,久末,4845
35.561931,139.623495,高津区,久末,4818
35.564799,139.620897,高津区,久末,4781
35.565084,139.624603,高津区,久末,4761
35.565249,139.62145,高津区,久末,4730
35.565534,139.623495,高津区,久末,4680
35.561931,139.624049,高津区,久末,4641
35.562381,139.62128,高津区,久末,4533
35.5657,139.622558,高津区,久末,4475
35.562546,139.620897,高津区,久末,4405
35.5657,139.622004,高津区,久末,4220
35.565249,139.620897,高津区,久末,3965
35.561931,139.624603,高津区,久末,3953
35.562381,139.625156,高津区,久末,3953
35.564799,139.620343,高津区,久末,3888
35.5657,139.62145,高津区,久末,3838
35.56615,139.622558,高津区,久末,3532
35.56615,139.622004,高津区,久末,3405
35.565249,139.620343,高津区,久末,3200
35.620824,139.512411,麻生区,細山四丁目,2720
35.620373,139.512411,麻生区,細山四丁目,2713
35.620373,139.512965,麻生区,細山四丁目,2704
35.620824,139.512965,麻生区,細山四丁目,2672
35.620373,139.513519,麻生区,細山四丁目,2638
35.620373,139.511857,麻生区,細山四丁目,2635
35.620824,139.511857,麻生区,細山四丁目,2618
35.620661,139.511608,麻生区,細山八丁目,2609
35.566601,139.622004,高津区,久末,2589
35.621274,139.512411,麻生区,細山四丁目,2577
35.619923,139.513519,麻生区,細山四丁目,2571
35.619923,139.512965,麻生区,細山四丁目,2556
35.620824,139.513519,麻生区,細山四丁目,2548
35.621274,139.511857,麻生区,細山四丁目,2544
35.621112,139.511608,麻生区,細山八丁目,2505
35.619923,139.512411,麻生区,細山四丁目,2469
35.620373,139.514073,麻生区,細山四丁目,2468
35.621274,139.512965,麻生区,細山四丁目,2459
35.569719,139.59866,宮前区,東有馬五丁目,2458
35.569571,139.599274,宮前区,野川,2430
35.621724,139.511857,麻生区,細山四丁目,2420
35.619923,139.514073,麻生区,細山四丁目,2407
35.570021,139.59872,宮前区,野川,2403
35.621274,139.513519,麻生区,細山四丁目,2403
35.570021,139.599274,宮前区,野川,2391
35.620211,139.511054,麻生区,細山八丁目,2390
35.620824,139.514073,麻生区,細山四丁目,2386
35.621562,139.511608,麻生区,細山八丁目,2382
35.569571,139.599828,宮前区,野川,2375
35.619923,139.511857,麻生区,細山四丁目,2373
35.569269,139.59866,宮前区,東有馬五丁目,2372
35.569719,139.598106,宮前区,東有馬五丁目,2372
35.620661,139.511054,麻生区,細山八丁目,2370
35.57017,139.59866,宮前区,東有馬五丁目,2348
35.621724,139.512411,麻生区,細山四丁目,2346
35.621112,139.511054,麻生区,細山八丁目,2339
35.619472,139.513519,麻生区,細山四丁目,2336
35.56912,139.599274,宮前区,野川,2329
35.569269,139.598106,宮前区,東有馬五丁目,2314
35.570021,139.599828,宮前区,野川,2308
35.56912,139.599828,宮前区,野川,2301
35.621274,139.514073,麻生区,細山四丁目,2271
35.568818,139.59866,宮前区,東有馬五丁目,2271
35.619472,139.514073,麻生区,細山四丁目,2268
35.621562,139.511054,麻生区,細山八丁目,2263
35.569571,139.600382,宮前区,野川,2250
35.619472,139.512965,麻生区,細山四丁目,2246
35.56867,139.599828,宮前区,野川,2243
35.56867,139.599274,宮前区,野川,2243
35.570472,139.599274,宮前区,野川,2238
35.606489,139.486513,麻生区,白鳥四丁目,2228
35.568368,139.599214,宮前区,東有馬五丁目,2228
35.606489,139.485959,麻生区,白鳥四丁目,2228
35.60694,139.486513,麻生区,白鳥四丁目,2228
35.60694,139.485959,麻生区,白鳥四丁目,2228
35.60739,139.485959,麻生区,白鳥四丁目,2228
35.620824,139.514627,麻生区,細山四丁目,2223
35.570021,139.600382,宮前区,野川,2210
35.570472,139.59872,宮前区,野川,2207
35.563077,139.678957,中原区,上平間,2192
35.562627,139.678403,中原区,上平間,2192
35.622012,139.511608,麻生区,細山八丁目,2189
35.60694,139.485405,麻生区,白鳥四丁目,2188
35.60739,139.485405,麻生区,白鳥四丁目,2188
35.606039,139.485959,麻生区,白鳥四丁目,2188
35.606489,139.485405,麻生区,白鳥四丁目,2188
35.566477,139.675554,中原区,中丸子,2188
35.60694,139.487067,麻生区,白鳥四丁目,2186
35.620373,139.514627,麻生区,細山四丁目,2186
35.568818,139.598106,宮前区,東有馬五丁目,2185
35.570472,139.599828,宮前区,野川,2183
35.621724,139.513519,麻生区,細山四丁目,2182
35.566026,139.676108,中原区,中丸子,2182
35.619472,139.512411,麻生区,細山四丁目,2178
35.57017,139.598106,宮前区,東有馬五丁目,2176
35.56912,139.600382,宮前区,野川,2176
35.620661,139.510499,麻生区,細山八丁目,2173
35.61976,139.511054,麻生区,細山八丁目,2172
35.566477,139.676108,中原区,中丸子,2171
35.619923,139.514627,麻生区,細山四丁目,2170
35.563077,139.67785,中原区,上平間,2161
35.563077,139.678403,中原区,上平間,2161
35.563527,139.678403,中原区,上平間,2161
35.620211,139.510499,麻生区,細山八丁目,2158
35.606039,139.486513,麻生区,白鳥四丁目,2147
35.606039,139.485405,麻生区,白鳥四丁目,2147
35.606489,139.487067,麻生区,白鳥四丁目,2147
35.60739,139.486513,麻生区,白鳥四丁目,2143
35.568368,139.59866,宮前区,東有馬五丁目,2142
35.593066,139.488245,麻生区,片平四丁目,2137
35.565576,139.675554,中原区,中丸子,2136
35.565329,139.676188,中原区,上平間,2129
35.566026,139.675554,中原区,中丸子,2125
35.565576,139.676108,中原区,中丸子,2118
35.622012,139.511054,麻生区,細山八丁目,2114
35.621274,139.514627,麻生区,細山四丁目,2112
35.619472,139.511857,麻生区,細山四丁目,2108
35.563527,139.67785,中原区,上平間,2104
35.621112,139.510499,麻生区,細山八丁目,2098
35.566026,139.675,中原区,中丸子,2096
35.621984,139.512721,麻生区,細山七丁目,2091
35.619472,139.514627,麻生区,細山四丁目,2078
