順位,区,町丁名,緯度,経度,新規カバー人口,平均人口,Google_Maps
1,多摩区,登戸,35.626665,139.566649,11536,25244,"https://www.google.com/maps?q=35.626665,139.566649&z=18"
2,高津区,久末,35.564183,139.624603,10584,14096,"https://www.google.com/maps?q=35.564183,139.624603&z=18"
3,高津区,千年,35.575771,139.623199,7434,13833,"https://www.google.com/maps?q=35.575771,139.623199&z=18"
4,多摩区,登戸,35.624582,139.55384,5728,25244,"https://www.google.com/maps?q=35.624582,139.55384&z=18"
5,宮前区,犬蔵二丁目,35.582851,139.56492,5624,9185,"https://www.google.com/maps?q=35.582851,139.56492&z=18"
6,高津区,蟹ケ谷,35.564194,139.630231,4848,8439,"https://www.google.com/maps?q=35.564194,139.630231&z=18"
7,多摩区,西生田五丁目,35.60751,139.524397,4208,1829,"https://www.google.com/maps?q=35.60751,139.524397&z=18"
8,麻生区,東百合丘一丁目,35.603191,139.526181,3991,2317,"https://www.google.com/maps?q=35.603191,139.526181&z=18"
9,宮前区,有馬九丁目,35.573909,139.571115,3818,1937,"https://www.google.com/maps?q=35.573909,139.571115&z=18"
10,高津区,久末,35.562997,139.619235,3793,14096,"https://www.google.com/maps?q=35.562997,139.619235&z=18"
