順位,区,町丁名,緯度,経度,新規カバー人口,コンビニ,スーパー,薬局,幼稚園,学校,公民館,寺社,設置候補,Google Maps
1,高津区,久末,35.564183,139.622941,7204,,,,,,,,町内会館・自治会館,"https://www.google.com/maps?q=35.564183,139.622941"
2,麻生区,細山四丁目,35.620824,139.512411,2720,,,,,,,,町内会館・自治会館,"https://www.google.com/maps?q=35.620824,139.512411"
3,宮前区,東有馬五丁目,35.569719,139.59866,2458,,,クリエイトSD,,,,,クリエイトSD,"https://www.google.com/maps?q=35.569719,139.59866"
4,麻生区,白鳥四丁目,35.606489,139.486513,2228,,,,,,,,町内会館・自治会館,"https://www.google.com/maps?q=35.606489,139.486513"
5,中原区,上平間,35.562627,139.678403,2192,,,,"平間乳児保育園, 平間保育園",,,名称不明,"平間乳児保育園, 平間保育園, 名称不明","https://www.google.com/maps?q=35.562627,139.678403"
6,麻生区,片平四丁目,35.593066,139.488245,2137,,,,,,,,町内会館・自治会館,"https://www.google.com/maps?q=35.593066,139.488245"
7,中原区,中丸子,35.566927,139.675554,2057,,,,,,,,町内会館・自治会館,"https://www.google.com/maps?q=35.566927,139.675554"
8,麻生区,高石五丁目,35.602814,139.520247,1959,,,,,,,,町内会館・自治会館,"https://www.google.com/maps?q=35.602814,139.520247"
9,多摩区,登戸,35.625764,139.568866,1836,,,,,東京都立 狛江高等学校,,,東京都立 狛江高等学校,"https://www.google.com/maps?q=35.625764,139.568866"
10,麻生区,虹ケ丘三丁目,35.578491,139.524438,1816,,,,,,,,町内会館・自治会館,"https://www.google.com/maps?q=35.578491,139.524438"
