区,町丁名,緯度,経度,グリッド点数,カバー率,総人口_累計,カバー人口_累計,リスク加重人口_累計,カバーリスク加重人口_累計,最寄りAED距離_m,カバー外リスク加重人口
高津区,久末,35.564769,139.625086,125,60.8,140964,85706,1042691,633956,11,408735
麻生区,岡上,35.577119,139.480296,576,35.2,63076,22229,517534,182395,17,335139
中原区,上平間,35.56214,139.676806,124,74.2,107950,80091,569224,422327,10,146897
宮前区,野川,35.569462,139.604825,358,86.0,114054,98124,1042821,897176,6,145645
麻生区,片平四丁目,35.592608,139.48937,80,35.0,27209,9523,194154,67954,117,126200
麻生区,白鳥四丁目,35.606339,139.486429,71,32.4,24948,8081,183263,59366,84,123897
麻生区,黒川,35.613078,139.461727,804,49.6,35353,17544,228296,113296,18,115000
多摩区,登戸,35.625174,139.567729,61,91.8,252444,231751,1335550,1226079,152,109471
中原区,中丸子,35.568353,139.669375,287,87.5,169613,148337,788704,689773,20,98931
麻生区,虹ケ丘二丁目,35.580299,139.524556,39,53.8,15803,8509,214331,115409,80,98922
麻生区,向原二丁目,35.616133,139.496816,59,20.3,14868,3024,122241,24862,210,97379
麻生区,細山四丁目,35.619998,139.513522,63,12.7,14304,1816,105786,13433,177,92353
多摩区,菅野戸呂,35.640025,139.53051,117,19.7,19037,3742,108934,21414,184,87520
宮前区,有馬九丁目,35.572502,139.570688,46,37.0,19374,7159,138715,51264,181,87451
麻生区,細山八丁目,35.621007,139.510258,39,0.0,9790,0,75762,0,310,75762
高津区,千年,35.577841,139.621785,227,92.1,138335,127365,844764,777778,4,66986
中原区,上丸子天神町,35.586998,139.662899,123,51.2,27818,14248,136851,70094,62,66757
宮前区,初山一丁目,35.601239,139.560474,290,62.1,19982,12402,174339,108210,9,66129
高津区,久末,35.565627,139.618209,317,94.0,140964,132515,1042691,980195,9,62496
麻生区,王禅寺東二丁目,35.591536,139.51802,104,65.4,17529,11461,179038,117063,120,61975
