区,町丁名,グリッド点数,カバー率,総人口_累計,カバー人口_累計,リスク加重人口_累計,カバーリスク加重人口_累計,最寄りAED距離_m,カバー外リスク加重人口
川崎区,中瀬一丁目,96,0.0,0,0,0,0,346,0
川崎区,中瀬二丁目,37,83.8,19030,15944,135466,113499,57,21967
川崎区,中瀬三丁目,84,44.0,55554,24470,300501,132363,95,168138
川崎区,大師駅前一丁目,31,100.0,20000,20000,133875,133875,13,0
川崎区,大師駅前二丁目,37,100.0,32851,32851,175177,175177,49,0
川崎区,川中島一丁目,40,100.0,21026,21026,144382,144382,63,0
川崎区,川中島二丁目,31,100.0,9283,9283,64883,64883,16,0
川崎区,伊勢町,46,97.8,24872,24331,158357,154915,42,3442
川崎区,藤崎一丁目,53,100.0,24160,24160,163059,163059,20,0
川崎区,藤崎二丁目,37,100.0,16606,16606,113541,113541,22,0
川崎区,藤崎三丁目,42,100.0,19858,19858,137962,137962,22,0
川崎区,藤崎四丁目,51,100.0,32428,32428,225413,225413,51,0
川崎区,観音一丁目,48,87.5,25049,21917,160461,140403,58,20058
川崎区,観音二丁目,52,90.4,31461,28435,185053,167259,74,17794
川崎区,池上新町一丁目,27,100.0,9038,9038,63283,63283,120,0
川崎区,池上新町二丁目,56,100.0,28534,28534,191004,191004,67,0
川崎区,池上新町三丁目,68,85.3,728,620,8667,7392,23,1275
川崎区,四谷上町,100,99.0,46059,45598,304920,301871,4,3049
川崎区,四谷下町,67,95.5,14240,13602,88575,84609,15,3966
川崎区,大師公園,32,100.0,0,0,0,0,21,0
川崎区,台町,38,100.0,19850,19850,119926,119926,111,0
川崎区,昭和一丁目,12,100.0,8892,8892,65145,65145,94,0
川崎区,昭和二丁目,59,96.6,22623,21856,151060,145940,83,5120
川崎区,出来野,26,100.0,13328,13328,88018,88018,30,0
川崎区,大師本町,23,47.8,13423,6419,90941,43493,166,47448
川崎区,大師町,36,83.3,7217,6014,53154,44295,161,8859
川崎区,東門前一丁目,25,92.0,9595,8827,60912,56039,68,4873
川崎区,東門前二丁目,17,100.0,4034,4034,29776,29776,43,0
川崎区,東門前三丁目,37,100.0,22980,22980,125546,125546,9,0
川崎区,大師河原一丁目,176,63.1,10624,6700,63325,39938,24,23387
川崎区,大師河原二丁目,30,100.0,24547,24547,123855,123855,21,0
川崎区,殿町一丁目,119,48.7,19745,9623,120150,58560,24,61590
川崎区,殿町二丁目,92,48.9,11613,5680,73507,35954,138,37553
川崎区,殿町三丁目,452,20.8,9256,1924,51580,10727,29,40853
川崎区,小島町,292,17.1,123,21,538,92,76,446
川崎区,江川一丁目,20,100.0,5431,5431,36071,36071,56,0
川崎区,江川二丁目,31,100.0,15458,15458,82521,82521,98,0
川崎区,田町一丁目,7,100.0,3281,3281,22574,22574,175,0
川崎区,田町二丁目,43,100.0,21205,21205,144155,144155,34,0
川崎区,田町三丁目,43,100.0,2894,2894,19031,19031,21,0
川崎区,日ノ出一丁目,37,100.0,8953,8953,61055,61055,49,0
川崎区,日ノ出二丁目,39,100.0,9354,9354,59921,59921,12,0
川崎区,塩浜一丁目,61,91.8,12005,11020,74827,68694,11,6133
川崎区,塩浜二丁目,63,90.5,5985,5415,39424,35669,7,3755
川崎区,塩浜三丁目,192,87.0,3664,3186,27400,23832,17,3568
川崎区,塩浜四丁目,138,89.1,648,577,3677,3278,13,399
川崎区,夜光一丁目,165,60.6,406,246,5872,3559,14,2313
川崎区,夜光二丁目,103,69.9,0,0,0,0,47,0
川崎区,夜光三丁目,82,100.0,0,0,0,0,47,0
川崎区,浮島町,1932,7.4,4,0,13,0,16,13
川崎区,千鳥町,823,42.3,93,39,287,121,7,166
川崎区,水江町,700,10.0,0,0,0,0,17,0
川崎区,東扇島,1928,23.3,33,7,314,73,16,241
川崎区,桜本一丁目,80,95.0,25533,24256,159751,151763,22,7988
川崎区,桜本二丁目,81,91.4,31346,28637,214782,196221,81,18561
川崎区,浜町一丁目,34,100.0,17256,17256,117048,117048,28,0
川崎区,浜町二丁目,49,100.0,22110,22110,139638,139638,15,0
川崎区,浜町三丁目,24,100.0,12952,12952,85391,85391,126,0
川崎区,浜町四丁目,36,100.0,8890,8890,55080,55080,82,0
川崎区,追分町,26,100.0,21905,21905,152073,152073,64,0
川崎区,鋼管通一丁目,48,100.0,18080,18080,121903,121903,59,0
川崎区,鋼管通二丁目,28,100.0,12038,12038,82597,82597,55,0
川崎区,鋼管通三丁目,25,100.0,10814,10814,74132,74132,83,0
川崎区,鋼管通四丁目,43,100.0,8720,8720,54026,54026,114,0
川崎区,鋼管通五丁目,23,100.0,206,206,2889,2889,169,0
川崎区,田島町,52,100.0,18080,18080,122109,122109,25,0
川崎区,小田栄一丁目,36,100.0,13361,13361,93496,93496,51,0
川崎区,小田栄二丁目,69,100.0,59151,59151,285309,285309,91,0
川崎区,小田一丁目,54,88.9,20533,18251,138585,123187,97,15398
川崎区,小田二丁目,57,100.0,23364,23364,160856,160856,19,0
川崎区,小田三丁目,44,100.0,19097,19097,134869,134869,67,0
川崎区,小田四丁目,61,100.0,24490,24490,161460,161460,17,0
川崎区,小田五丁目,55,100.0,28688,28688,182470,182470,17,0
川崎区,小田六丁目,25,100.0,13105,13105,91158,91158,165,0
川崎区,小田七丁目,43,97.7,13944,13619,67280,65715,25,1565
川崎区,浅田一丁目,25,100.0,13104,13104,90432,90432,106,0
川崎区,浅田二丁目,40,100.0,18089,18089,129582,129582,25,0
川崎区,浅田三丁目,36,97.2,15797,15358,116654,113413,152,3241
川崎区,浅田四丁目,36,94.4,15310,14459,100714,95119,43,5595
川崎区,池上町,232,68.1,5703,3883,42469,28923,21,13546
川崎区,浅野町,187,55.6,3,1,17,9,3,8
川崎区,南渡田町,259,48.3,34,16,198,95,30,103
川崎区,田辺新田,112,34.8,17,5,277,96,71,181
川崎区,白石町,140,56.4,173,97,1482,836,30,646
川崎区,大川町,198,56.6,1,0,5,3,15,2
川崎区,扇町,729,0.0,250,0,3010,0,305,3010
川崎区,扇島,1574,0.0,0,0,0,0,983,0
川崎区,水面,14588,1.4,0,0,0,0,15,0
川崎区,駅前本町,56,100.0,3884,3884,26803,26803,14,0
川崎区,砂子一丁目,21,100.0,5332,5332,35901,35901,88,0
川崎区,砂子二丁目,21,100.0,9974,9974,66805,66805,158,0
川崎区,本町一丁目,19,100.0,15896,15896,106010,106010,167,0
川崎区,本町二丁目,49,100.0,29863,29863,198509,198509,16,0
川崎区,堀之内町,24,100.0,11862,11862,71978,71978,97,0
川崎区,宮本町,27,100.0,11386,11386,71981,71981,23,0
川崎区,東田町,31,100.0,12949,12949,82915,82915,111,0
川崎区,日進町,119,100.0,64080,64080,427343,427343,22,0
川崎区,小川町,41,100.0,21938,21938,131406,131406,57,0
川崎区,南町,45,100.0,32435,32435,201993,201993,4,0
川崎区,堤根,26,92.3,2331,2151,14934,13785,91,1149
川崎区,下並木,44,100.0,29316,29316,178949,178949,22,0
川崎区,池田一丁目,34,100.0,18710,18710,123603,123603,161,0
川崎区,池田二丁目,20,100.0,10863,10863,71863,71863,51,0
川崎区,京町一丁目,47,100.0,29606,29606,179142,179142,21,0
川崎区,京町二丁目,54,57.4,30662,17602,218004,125150,139,92854
川崎区,京町三丁目,56,87.5,37057,32424,241440,211260,13,30180
川崎区,渡田山王町,54,88.9,19596,17418,132745,117995,95,14750
川崎区,元木一丁目,21,100.0,11072,11072,66859,66859,88,0
川崎区,元木二丁目,20,100.0,9911,9911,65994,65994,66,0
川崎区,渡田新町一丁目,24,100.0,7479,7479,50066,50066,161,0
川崎区,渡田新町二丁目,18,100.0,10131,10131,65189,65189,141,0
川崎区,渡田新町三丁目,53,100.0,14699,14699,103147,103147,1,0
川崎区,渡田向町,51,100.0,19382,19382,131338,131338,19,0
川崎区,渡田一丁目,38,100.0,22427,22427,145612,145612,23,0
川崎区,渡田二丁目,28,100.0,13307,13307,91265,91265,104,0
川崎区,渡田三丁目,27,100.0,8923,8923,60058,60058,80,0
川崎区,渡田四丁目,28,100.0,12722,12722,80565,80565,23,0
川崎区,大島上町,47,100.0,23015,23015,151218,151218,94,0
川崎区,渡田東町,31,100.0,12202,12202,83338,83338,81,0
川崎区,大島一丁目,51,100.0,22892,22892,154273,154273,34,0
川崎区,大島二丁目,25,100.0,11423,11423,80435,80435,66,0
川崎区,大島三丁目,57,100.0,23407,23407,158420,158420,65,0
川崎区,大島四丁目,35,100.0,19513,19513,124999,124999,37,0
川崎区,大島五丁目,55,100.0,22059,22059,152413,152413,18,0
川崎区,宮前町,29,100.0,15195,15195,93041,93041,13,0
川崎区,新川通,28,100.0,9818,9818,73594,73594,104,0
川崎区,境町,36,100.0,18141,18141,113386,113386,131,0
川崎区,貝塚一丁目,27,100.0,19406,19406,122839,122839,128,0
川崎区,貝塚二丁目,26,100.0,18245,18245,110937,110937,132,0
川崎区,榎町,20,100.0,20066,20066,110165,110165,75,0
川崎区,富士見一丁目,139,93.5,21322,19941,114664,107240,53,7424
川崎区,富士見二丁目,73,100.0,6790,6790,39374,39374,93,0
川崎区,中島一丁目,16,100.0,9790,9790,61879,61879,71,0
川崎区,中島二丁目,24,100.0,12840,12840,89301,89301,156,0
川崎区,中島三丁目,35,100.0,15184,15184,96926,96926,17,0
川崎区,旭町一丁目,35,62.9,11552,7261,77299,48588,128,28711
川崎区,旭町二丁目,44,100.0,18256,18256,123095,123095,25,0
川崎区,港町,100,24.0,51269,12304,276534,66368,182,210166
川崎区,鈴木町,192,29.7,0,0,0,0,126,0
幸区,戸手本町一丁目,51,100.0,18480,18480,107408,107408,21,0
幸区,戸手本町二丁目,44,100.0,53701,53701,288956,288956,68,0
幸区,紺屋町,28,100.0,13142,13142,78100,78100,118,0
幸区,遠藤町,28,100.0,16318,16318,86047,86047,5,0
幸区,小向東芝町,81,95.1,0,0,0,0,56,0
幸区,小向西町一丁目,17,100.0,13766,13766,81236,81236,106,0
幸区,小向西町二丁目,12,100.0,6662,6662,38298,38298,154,0
幸区,小向西町三丁目,18,100.0,12881,12881,75305,75305,54,0
幸区,小向西町四丁目,38,100.0,23941,23941,130900,130900,21,0
幸区,古市場,34,100.0,22874,22874,154283,154283,8,0
幸区,古市場一丁目,130,79.2,38000,30107,236854,187661,23,49193
幸区,古市場二丁目,127,73.2,41445,30349,259922,190337,101,69585
幸区,東古市場,139,62.6,27209,17030,169631,106172,59,63459
幸区,小向仲野町,72,70.8,27266,19313,162780,115302,21,47478
幸区,小向町,45,80.0,22738,18190,153491,122793,13,30698
幸区,小向,189,14.8,0,0,0,0,56,0
幸区,戸手一丁目,17,100.0,7261,7261,42273,42273,155,0
幸区,戸手二丁目,25,100.0,12148,12148,75706,75706,63,0
幸区,戸手三丁目,13,100.0,12136,12136,64585,64585,150,0
幸区,戸手四丁目,75,76.0,48012,36489,263212,200041,113,63171
幸区,河原町,67,95.5,43232,41296,424551,405541,40,19010
幸区,中幸町一丁目,24,100.0,16758,16758,100152,100152,3,0
幸区,中幸町二丁目,23,100.0,13025,13025,82978,82978,57,0
幸区,中幸町三丁目,10,100.0,28009,28009,175848,175848,98,0
幸区,中幸町四丁目,18,100.0,20189,20189,114724,114724,28,0
幸区,幸町一丁目,12,100.0,7947,7947,48154,48154,26,0
幸区,幸町二丁目,17,76.5,7304,5585,48490,37080,66,11410
幸区,幸町三丁目,18,72.2,14867,10737,89571,64690,132,24881
幸区,幸町四丁目,11,100.0,7364,7364,47569,47569,48,0
幸区,堀川町,98,100.0,16500,16500,114226,114226,10,0
幸区,柳町,113,74.3,28236,20989,153894,114399,49,39495
幸区,大宮町,38,100.0,37976,37976,245463,245463,20,0
幸区,南幸町一丁目,21,100.0,17740,17740,104043,104043,116,0
幸区,南幸町二丁目,28,100.0,47063,47063,246424,246424,92,0
幸区,南幸町三丁目,80,98.8,37423,36955,220486,217730,18,2756
幸区,神明町一丁目,34,100.0,27943,27943,147471,147471,85,0
幸区,神明町二丁目,35,82.9,16715,13849,97251,80579,37,16672
幸区,都町,27,100.0,8353,8353,42287,42287,17,0
幸区,塚越一丁目,36,97.2,22538,21911,113161,110018,89,3143
幸区,塚越二丁目,52,92.3,34074,31452,188682,174168,94,14514
幸区,塚越三丁目,58,31.0,33402,10366,183406,56919,174,126487
幸区,塚越四丁目,67,91.0,64470,58696,378393,344507,19,33886
幸区,古川町,60,100.0,38692,38692,199588,199588,59,0
幸区,下平間,152,100.0,85608,85608,509023,509023,19,0
幸区,鹿島田一丁目,78,100.0,33485,33485,167044,167044,31,0
幸区,鹿島田二丁目,65,96.9,23526,22802,151838,147166,50,4672
幸区,鹿島田三丁目,72,45.8,27798,12740,155213,71139,145,84074
幸区,小倉,34,100.0,36951,36951,264483,264483,112,0
幸区,小倉一丁目,27,100.0,24722,24722,127628,127628,124,0
幸区,小倉二丁目,73,100.0,26167,26167,160809,160809,16,0
幸区,小倉三丁目,61,100.0,37179,37179,206936,206936,75,0
幸区,小倉四丁目,71,94.4,38197,36045,242486,228824,10,13662
幸区,小倉五丁目,108,95.4,28761,27429,171295,163365,24,7930
幸区,小倉,32,100.0,36951,36951,264483,264483,37,0
幸区,南加瀬一丁目,65,100.0,26882,26882,144616,144616,34,0
幸区,南加瀬二丁目,78,100.0,34923,34923,205669,205669,19,0
幸区,南加瀬三丁目,88,100.0,45444,45444,265873,265873,8,0
幸区,南加瀬四丁目,169,93.5,60623,56677,357049,333809,12,23240
幸区,南加瀬五丁目,127,74.8,42391,31709,263197,196880,20,66317
幸区,北加瀬一丁目,108,85.2,45057,38381,263480,224446,19,39034
幸区,北加瀬二丁目,72,100.0,38438,38438,193894,193894,10,0
幸区,北加瀬三丁目,53,92.5,34040,31470,187806,173632,38,14174
幸区,矢上,32,62.5,11354,7096,58215,36384,160,21831
幸区,新塚越,18,100.0,34590,34590,210991,210991,98,0
幸区,東小倉,49,73.5,28162,20690,157470,115692,18,41778
幸区,新小倉,55,94.5,36332,34350,131914,124719,14,7195
幸区,新川崎,70,74.3,42500,31571,199895,148493,91,51402
中原区,小杉町一丁目,52,100.0,26894,26894,145166,145166,65,0
中原区,小杉町二丁目,48,100.0,62482,62482,291476,291476,16,0
中原区,小杉町三丁目,54,100.0,42636,42636,219859,219859,17,0
中原区,新丸子東一丁目,17,100.0,19686,19686,113762,113762,61,0
中原区,新丸子東二丁目,28,100.0,23018,23018,122983,122983,53,0
中原区,新丸子東三丁目,50,100.0,66963,66963,355805,355805,22,0
中原区,小杉御殿町一丁目,48,100.0,17693,17693,94379,94379,29,0
中原区,小杉御殿町二丁目,66,100.0,43733,43733,234144,234144,18,0
中原区,小杉陣屋町一丁目,59,100.0,32475,32475,176273,176273,9,0
中原区,小杉陣屋町二丁目,52,100.0,18718,18718,113140,113140,18,0
中原区,上小田中一丁目,109,89.0,62368,55501,315589,280846,13,34743
中原区,上小田中二丁目,92,100.0,65953,65953,343475,343475,58,0
中原区,上小田中三丁目,81,100.0,69511,69511,334692,334692,13,0
中原区,上小田中四丁目,67,100.0,0,0,0,0,98,0
中原区,上小田中五丁目,40,97.5,21358,20824,116552,113638,106,2914
中原区,上小田中六丁目,125,99.2,60170,59688,333221,330556,53,2665
中原区,上小田中七丁目,41,100.0,25753,25753,128031,128031,27,0
中原区,宮内一丁目,132,66.7,28111,18740,140792,93861,7,46931
中原区,宮内二丁目,98,91.8,28568,26235,147616,135565,27,12051
中原区,宮内三丁目,69,100.0,46053,46053,235922,235922,21,0
中原区,宮内四丁目,92,100.0,39694,39694,210225,210225,18,0
中原区,等々力,304,77.0,3931,3025,23499,18088,55,5411
中原区,上丸子天神町,123,36.6,27818,10177,149077,54540,62,94537
中原区,丸子通一丁目,32,96.9,41766,40460,223685,216695,24,6990
中原区,丸子通二丁目,25,100.0,26275,26275,143969,143969,72,0
中原区,新丸子町,35,100.0,31200,31200,162302,162302,62,0
中原区,上丸子八幡町,117,26.5,22403,5935,136701,36220,33,100481
中原区,上丸子山王町一丁目,69,44.9,22263,10002,122294,54944,90,67350
中原区,上丸子山王町二丁目,34,91.2,19407,17694,108523,98948,48,9575
中原区,下沼部,202,93.1,48877,45489,258909,240964,17,17945
中原区,中丸子,287,81.5,169613,138290,863625,704141,20,159484
中原区,市ノ坪,182,100.0,119663,119663,629591,629591,60,0
中原区,北谷町,40,100.0,23916,23916,138328,138328,21,0
中原区,田尻町,30,100.0,20290,20290,116949,116949,41,0
中原区,上平間,124,66.1,107950,71386,604630,399836,47,204794
中原区,上平間,198,99.5,107950,107404,604630,601577,9,3053
中原区,大倉町,132,70.5,0,0,0,0,8,0
中原区,苅宿,108,100.0,54447,54447,292110,292110,15,0
中原区,西加瀬,88,93.2,22982,21415,120405,112196,50,8209
中原区,木月住吉町,145,100.0,44564,44564,235655,235655,26,0
中原区,今井仲町,49,100.0,43925,43925,211357,211357,73,0
中原区,今井南町,77,100.0,50846,50846,276097,276097,20,0
中原区,今井上町,57,100.0,39870,39870,187044,187044,89,0
中原区,今井西町,51,100.0,48491,48491,233328,233328,19,0
中原区,木月大町,72,100.0,29938,29938,152870,152870,19,0
中原区,木月祗園町,42,100.0,25116,25116,118524,118524,33,0
中原区,木月伊勢町,20,100.0,18904,18904,86700,86700,40,0
中原区,木月一丁目,49,100.0,25705,25705,147035,147035,4,0
中原区,木月二丁目,43,100.0,29030,29030,163008,163008,32,0
中原区,木月三丁目,122,87.7,59054,51793,339032,297348,81,41684
中原区,木月四丁目,148,98.6,72488,71508,383205,378027,26,5178
中原区,井田一丁目,84,77.4,33557,25966,185840,143805,60,42035
中原区,井田二丁目,83,73.5,23190,17043,132985,97736,16,35249
中原区,井田三丁目,96,100.0,35168,35168,182464,182464,25,0
中原区,井田中ノ町,117,92.3,72651,67062,368686,340325,21,28361
中原区,井田杉山町,74,100.0,47651,47651,230417,230417,20,0
中原区,井田三舞町,48,100.0,42073,42073,209165,209165,11,0
中原区,下小田中一丁目,79,100.0,45264,45264,229326,229326,11,0
中原区,下小田中二丁目,108,100.0,56943,56943,286939,286939,24,0
中原区,下小田中三丁目,94,100.0,57971,57971,277032,277032,21,0
中原区,下小田中四丁目,62,95.2,46166,43932,226003,215067,78,10936
中原区,下小田中五丁目,52,100.0,32382,32382,135288,135288,50,0
中原区,下小田中六丁目,98,94.9,51580,48948,260214,246938,74,13276
中原区,新城中町,30,100.0,20395,20395,107346,107346,60,0
中原区,下新城一丁目,44,100.0,18489,18489,92318,92318,14,0
中原区,下新城二丁目,29,100.0,20206,20206,101773,101773,27,0
中原区,下新城三丁目,27,100.0,27677,27677,129597,129597,64,0
中原区,上新城一丁目,23,100.0,15299,15299,79430,79430,78,0
中原区,上新城二丁目,24,100.0,13657,13657,76842,76842,9,0
中原区,新城,1,100.0,1423,1423,9555,9555,207,0
中原区,新城一丁目,15,100.0,10115,10115,60955,60955,34,0
中原区,新城二丁目,12,100.0,12084,12084,62460,62460,74,0
中原区,新城三丁目,12,100.0,6648,6648,39053,39053,24,0
中原区,新城四丁目,8,100.0,4711,4711,27015,27015,184,0
中原区,新城五丁目,11,100.0,7540,7540,47482,47482,98,0
中原区,上丸子,18,100.0,0,0,0,0,121,0
高津区,溝口一丁目,55,100.0,14611,14611,95034,95034,20,0
高津区,溝口二丁目,67,100.0,31659,31659,212794,212794,38,0
高津区,溝口三丁目,55,100.0,39202,39202,243538,243538,12,0
高津区,溝口四丁目,39,100.0,17697,17697,111683,111683,44,0
高津区,溝口五丁目,63,100.0,34130,34130,223927,223927,32,0
高津区,溝口六丁目,63,100.0,33347,33347,195559,195559,41,0
高津区,久地一丁目,109,100.0,32044,32044,198442,198442,25,0
高津区,久地二丁目,218,68.3,24977,17071,166666,113914,22,52752
高津区,久地三丁目,85,100.0,48185,48185,270943,270943,20,0
高津区,久地四丁目,81,93.8,34565,32431,217195,203788,13,13407
高津区,久地,24,100.0,7190,7190,36345,36345,90,0
高津区,宇奈根,178,88.2,17388,15336,100526,88666,19,11860
高津区,二子一丁目,102,66.7,50665,33776,301199,200799,58,100400
高津区,二子二丁目,35,100.0,25040,25040,154018,154018,11,0
高津区,二子三丁目,51,100.0,31288,31288,188400,188400,2,0
高津区,二子四丁目,33,100.0,18836,18836,119930,119930,49,0
高津区,二子五丁目,31,100.0,16135,16135,112449,112449,20,0
高津区,二子六丁目,29,93.1,15403,14340,100441,93514,110,6927
高津区,瀬田,78,79.5,8876,7055,59765,47506,1,12259
高津区,諏訪一丁目,33,100.0,19512,19512,122296,122296,144,0
高津区,諏訪二丁目,90,45.6,19024,8666,124999,56944,140,68055
高津区,諏訪三丁目,53,100.0,30599,30599,177297,177297,72,0
高津区,北見方一丁目,73,47.9,29103,13953,172050,82489,209,89561
高津区,北見方二丁目,102,59.8,61769,36940,373967,223647,23,150320
高津区,北見方三丁目,104,22.1,13202,2919,81419,18006,198,63413
高津区,下野毛一丁目,111,89.2,11924,10634,90644,80844,17,9800
高津区,下野毛二丁目,57,94.7,9696,9185,61562,58322,49,3240
高津区,下野毛三丁目,63,100.0,15712,15712,104806,104806,25,0
高津区,坂戸一丁目,65,100.0,27215,27215,165558,165558,21,0
高津区,坂戸二丁目,60,100.0,30958,30958,167326,167326,15,0
高津区,坂戸三丁目,82,95.1,38714,36825,274520,261129,92,13391
高津区,久本一丁目,45,100.0,21511,21511,143188,143188,117,0
高津区,久本二丁目,76,81.6,33751,27533,210609,171813,148,38796
高津区,久本三丁目,109,100.0,75037,75037,519484,519484,5,0
高津区,下作延一丁目,26,100.0,10618,10618,70373,70373,135,0
高津区,下作延二丁目,105,98.1,57347,56254,371021,363954,20,7067
高津区,下作延三丁目,71,77.5,43583,33761,270801,209775,44,61026
高津区,下作延四丁目,85,100.0,36641,36641,216636,216636,108,0
高津区,下作延五丁目,125,87.2,28434,24794,179910,156882,15,23028
高津区,下作延六丁目,107,89.7,28446,25521,199807,179266,13,20541
高津区,下作延七丁目,72,87.5,22379,19581,139077,121692,153,17385
高津区,下作延,106,46.2,0,0,0,0,86,0
高津区,上作延,406,72.9,111606,81367,752813,548849,6,203964
高津区,向ケ丘,66,78.8,25407,20017,158784,125102,54,33682
高津区,梶ケ谷一丁目,29,100.0,7099,7099,38787,38787,134,0
高津区,梶ケ谷二丁目,60,100.0,33350,33350,198565,198565,4,0
高津区,梶ケ谷三丁目,55,100.0,25578,25578,160705,160705,129,0
高津区,梶ケ谷四丁目,47,100.0,14207,14207,97256,97256,30,0
高津区,梶ケ谷五丁目,57,100.0,15772,15772,96778,96778,3,0
高津区,梶ケ谷六丁目,57,71.9,15200,10933,103415,74386,76,29029
高津区,末長一丁目,178,89.9,85577,76923,541186,486459,19,54727
高津区,末長二丁目,142,74.6,40788,30447,260387,194373,46,66014
高津区,末長三丁目,102,99.0,53031,52511,324065,320888,21,3177
高津区,末長四丁目,82,91.5,53977,49369,318102,290947,31,27155
高津区,新作一丁目,79,97.5,11848,11548,73399,71541,23,1858
高津区,新作二丁目,51,23.5,18170,4275,118968,27992,185,90976
